"Freq","Cumul","relative","phastCons","Type","GeneSet"
73,93363,0.350564354428098,"0.186000004410744","exons","Universal"
76,93439,0.350849723267323,"0.187000006437302","exons","Universal"
54,93493,0.351052485337298,"0.187999993562698","exons","Universal"
58,93551,0.351270266819865,"0.188999995589256","exons","Universal"
48,93599,0.351450499770954,"0.189999997615814","exons","Universal"
35,93634,0.351581919631123,"0.190999999642372","exons","Universal"
60,93694,0.351807210819985,"0.19200000166893","exons","Universal"
48,93742,0.351987443771074,"0.193000003695488","exons","Universal"
43,93785,0.352148902456425,"0.194000005722046","exons","Universal"
50,93835,0.35233664511381,"0.194999992847443","exons","Universal"
47,93882,0.352513123211751,"0.195999994874001","exons","Universal"
44,93926,0.35267833675025,"0.196999996900558","exons","Universal"
55,93981,0.352884853673373,"0.197999998927116","exons","Universal"
48,94029,0.353065086624462,"0.199000000953674","exons","Universal"
41,94070,0.353219035603518,"0.200000002980232","exons","Universal"
55,94125,0.353425552526641,"0.20100000500679","exons","Universal"
64,94189,0.353665863128093,"0.202000007033348","exons","Universal"
52,94241,0.353861115491773,"0.202999994158745","exons","Universal"
48,94289,0.354041348442862,"0.203999996185303","exons","Universal"
66,94355,0.35428916875061,"0.204999998211861","exons","Universal"
33,94388,0.354413078904484,"0.206000000238419","exons","Universal"
51,94439,0.354604576415016,"0.207000002264977","exons","Universal"
49,94488,0.354788564219253,"0.208000004291534","exons","Universal"
51,94539,0.354980061729786,"0.209000006318092","exons","Universal"
48,94587,0.355160294680875,"0.209999993443489","exons","Universal"
39,94626,0.355306733953635,"0.210999995470047","exons","Universal"
39,94665,0.355453173226395,"0.211999997496605","exons","Universal"
50,94715,0.35564091588378,"0.212999999523163","exons","Universal"
30,94745,0.355753561478211,"0.214000001549721","exons","Universal"
45,94790,0.355922529869857,"0.215000003576279","exons","Universal"
42,94832,0.35608023370206,"0.216000005602837","exons","Universal"
66,94898,0.356328054009808,"0.216999992728233","exons","Universal"
39,94937,0.356474493282568,"0.217999994754791","exons","Universal"
