"Freq","Cumul","relative","phastCons","Type","GeneSet"
2,6639,0.256480587212671,"0.199000000953674","exons","Universal"
4,6643,0.256635116863048,"0.200000002980232","exons","Universal"
4,6647,0.256789646513425,"0.20100000500679","exons","Universal"
4,6651,0.256944176163801,"0.202000007033348","exons","Universal"
6,6657,0.257175970639366,"0.202999994158745","exons","Universal"
7,6664,0.257446397527526,"0.203999996185303","exons","Universal"
6,6670,0.257678192003091,"0.204999998211861","exons","Universal"
2,6672,0.257755456828279,"0.206000000238419","exons","Universal"
11,6683,0.258180413366815,"0.208000004291534","exons","Universal"
5,6688,0.258373575429786,"0.209000006318092","exons","Universal"
4,6692,0.258528105080162,"0.209999993443489","exons","Universal"
5,6697,0.258721267143133,"0.210999995470047","exons","Universal"
3,6700,0.258837164380916,"0.211999997496605","exons","Universal"
8,6708,0.259146223681669,"0.212999999523163","exons","Universal"
5,6713,0.25933938574464,"0.214000001549721","exons","Universal"
6,6719,0.259571180220205,"0.215000003576279","exons","Universal"
4,6723,0.259725709870581,"0.216000005602837","exons","Universal"
2,6725,0.25980297469577,"0.216999992728233","exons","Universal"
2,6727,0.259880239520958,"0.217999994754791","exons","Universal"
3,6730,0.259996136758741,"0.218999996781349","exons","Universal"
9,6739,0.260343828472088,"0.219999998807907","exons","Universal"
5,6744,0.260536990535059,"0.221000000834465","exons","Universal"
2,6746,0.260614255360247,"0.222000002861023","exons","Universal"
4,6750,0.260768785010624,"0.223000004887581","exons","Universal"
10,6760,0.261155109136566,"0.224000006914139","exons","Universal"
6,6766,0.261386903612131,"0.224999994039536","exons","Universal"
6,6772,0.261618698087696,"0.225999996066093","exons","Universal"
6,6778,0.261850492563261,"0.226999998092651","exons","Universal"
6,6784,0.262082287038826,"0.228000000119209","exons","Universal"
3,6787,0.262198184276608,"0.229000002145767","exons","Universal"
3,6790,0.262314081514391,"0.230000004172325","exons","Universal"
6,6796,0.262545875989956,"0.231000006198883","exons","Universal"
3,6799,0.262661773227738,"0.23199999332428","exons","Universal"
4,6803,0.262816302878115,"0.232999995350838","exons","Universal"
4,6807,0.262970832528491,"0.233999997377396","exons","Universal"
3,6810,0.263086729766274,"0.234999999403954","exons","Universal"
4,6814,0.263241259416651,"0.236000001430511","exons","Universal"
12,6826,0.263704848367781,"0.237000003457069","exons","Universal"
5,6831,0.263898010430751,"0.238000005483627","exons","Universal"
