"","Freq","Cumul","relative","phastCons","Type","GeneSet"
"0.1389999985694891",25,20737,0.636612021857924,"0.138999998569489","promoters","Universal"
"0.1400000005960461",17,20754,0.637133910480752,"0.140000000596046","promoters","Universal"
"0.1410000026226041",22,20776,0.637809295757352,"0.141000002622604","promoters","Universal"
"0.1420000046491621",25,20801,0.638576779026217,"0.142000004649162","promoters","Universal"
"0.143000006675721",30,20831,0.639497758948855,"0.14300000667572","promoters","Universal"
"0.1439999938011171",30,20861,0.640418738871493,"0.143999993801117","promoters","Universal"
"0.1449999958276751",23,20884,0.641124823478848,"0.144999995827675","promoters","Universal"
"0.1459999978542331",24,20908,0.641861607416958,"0.145999997854233","promoters","Universal"
"0.1469999998807911",21,20929,0.642506293362805,"0.146999999880791","promoters","Universal"
"0.1480000019073491",22,20951,0.643181678639406,"0.148000001907349","promoters","Universal"
"0.1490000039339071",20,20971,0.643795665254497,"0.149000003933907","promoters","Universal"
"0.1500000059604641",26,20997,0.644593847854117,"0.150000005960464","promoters","Universal"
"0.1509999930858611",22,21019,0.645269233130718,"0.150999993085861","promoters","Universal"
"0.1519999951124191",33,21052,0.646282311045619,"0.151999995112419","promoters","Universal"
"0.1529999971389771",22,21074,0.64695769632222,"0.152999997138977","promoters","Universal"
"0.1539999991655351",26,21100,0.64775587892184,"0.153999999165535","promoters","Universal"
"0.1550000011920931",28,21128,0.648615460182968,"0.155000001192093","promoters","Universal"
"0.1560000032186511",34,21162,0.649659237428624,"0.156000003218651","promoters","Universal"
"0.1570000052452091",17,21179,0.650181126051452,"0.157000005245209","promoters","Universal"
"0.1580000072717671",30,21209,0.65110210597409,"0.158000007271767","promoters","Universal"
"0.1589999943971631",19,21228,0.651685393258427,"0.158999994397163","promoters","Universal"
"0.1599999964237211",20,21248,0.652299379873519,"0.159999996423721","promoters","Universal"
"0.1609999984502791",21,21269,0.652944065819365,"0.160999998450279","promoters","Universal"
"0.1620000004768371",22,21291,0.653619451095966,"0.162000000476837","promoters","Universal"
"0.1630000025033951",22,21313,0.654294836372567,"0.163000002503395","promoters","Universal"
"0.1640000045299531",24,21337,0.655031620310677,"0.164000004529953","promoters","Universal"
"0.1650000065565111",22,21359,0.655707005587278,"0.165000006556511","promoters","Universal"
"0.1659999936819081",20,21379,0.65632099220237,"0.165999993681908","promoters","Universal"
"0.1669999957084661",21,21400,0.656965678148216,"0.166999995708466","promoters","Universal"
"0.1679999977350231",25,21425,0.657733161417081,"0.167999997735023","promoters","Universal"
"0.1689999997615811",24,21449,0.658469945355191,"0.168999999761581","promoters","Universal"
